source,source_well,destination,destination_well,volume
media,3,dest,68,20
media,3,dest,80,40
media,3,dest,92,60
media,3,dest,9,0
media,3,dest,21,20
media,3,dest,33,40
media,3,dest,45,60
media,3,dest,57,0
media,3,dest,69,20
media,3,dest,81,40
media,3,dest,93,60
media,3,dest,10,0
media,3,dest,22,20
media,3,dest,34,40
media,3,dest,46,60
media,3,dest,58,0
media,3,dest,70,20
media,3,dest,82,40
media,3,dest,94,60
media,3,dest,11,0
media,3,dest,23,20
media,3,dest,35,40
media,3,dest,47,60
media,3,dest,59,0
media,3,dest,71,20
media,3,dest,83,40
media,3,dest,95,60
media,3,dest,12,0
media,3,dest,24,20
media,3,dest,36,40
media,3,dest,48,60
media,3,dest,60,0
media,3,dest,72,20
media,3,dest,84,40
media,3,dest,96,60
media,4,dest,1,60
media,4,dest,13,40
media,4,dest,25,20
media,4,dest,37,0
media,4,dest,49,60
media,4,dest,61,40
media,4,dest,73,20
media,4,dest,85,0
media,4,dest,2,60
media,4,dest,14,40
media,4,dest,26,20
media,4,dest,38,0
media,4,dest,50,60
media,4,dest,62,40
media,4,dest,74,20
media,4,dest,86,0
media,4,dest,3,60
media,4,dest,15,40
media,4,dest,27,20
media,4,dest,39,0
media,4,dest,51,60
media,4,dest,63,40
media,4,dest,75,20
media,4,dest,87,0
media,4,dest,4,60
media,4,dest,16,40
media,4,dest,28,20
media,4,dest,40,0
media,4,dest,52,60
media,4,dest,64,40
media,4,dest,76,20
media,4,dest,88,0
media,4,dest,5,60
media,4,dest,17,40
media,4,dest,29,20
media,4,dest,41,0
media,4,dest,53,60
media,4,dest,65,40
media,4,dest,77,20
media,4,dest,89,0
media,4,dest,6,60
media,4,dest,18,40
media,4,dest,30,20
media,4,dest,42,0
media,4,dest,54,60
media,4,dest,66,40
media,4,dest,78,20
media,4,dest,90,0
media,4,dest,7,60
media,4,dest,19,40
media,4,dest,31,20
media,4,dest,43,0
media,4,dest,55,60
media,4,dest,67,40
media,4,dest,79,20
media,4,dest,91,0
media,4,dest,8,60
media,4,dest,20,40
media,4,dest,32,20
media,4,dest,44,0
media,4,dest,56,60
media,4,dest,68,40
media,4,dest,80,20
media,4,dest,92,0
media,4,dest,9,60
media,4,dest,21,40
media,4,dest,33,20
media,4,dest,45,0
media,4,dest,57,60
media,4,dest,69,40
media,4,dest,81,20
media,4,dest,93,0
media,4,dest,10,60
media,4,dest,22,40
media,4,dest,34,20
media,4,dest,46,0
media,4,dest,58,60
media,4,dest,70,40
media,4,dest,82,20
media,4,dest,94,0
media,4,dest,11,60
media,4,dest,23,40
media,4,dest,35,20
media,4,dest,47,0
media,4,dest,59,60
media,4,dest,71,40
media,4,dest,83,20
media,4,dest,95,0
media,4,dest,12,60
media,4,dest,24,40
media,4,dest,36,20
media,4,dest,48,0
media,4,dest,60,60
media,4,dest,72,40
media,4,dest,84,20
media,4,dest,96,0
